DATE,TIME,実績(万kW)
2016/4/18,19:00,3264
2016/4/18,20:00,3094
2016/4/18,21:00,2942
2016/4/18,22:00,2875
2016/4/18,23:00,2677
2016/4/19,0:00,2435
2016/4/19,1:00,2323
2016/4/19,2:00,2304
2016/4/19,3:00,2316
2016/4/19,4:00,2353
2016/4/19,5:00,2413
2016/4/19,6:00,2589
2016/4/19,7:00,2768
2016/4/19,8:00,2994
2016/4/19,9:00,3182
2016/4/19,10:00,3238
2016/4/19,11:00,3263
2016/4/19,12:00,3101
2016/4/19,13:00,3260
2016/4/19,14:00,3256
2016/4/19,15:00,3219
2016/4/19,16:00,3277
2016/4/19,17:00,3269
2016/4/19,18:00,3340
2016/4/19,19:00,3225
2016/4/19,20:00,3073
2016/4/19,21:00,2946
2016/4/19,22:00,2856
2016/4/19,23:00,2670
2016/4/20,0:00,2462
2016/4/20,1:00,2342
2016/4/20,2:00,2322
2016/4/20,3:00,2343
2016/4/20,4:00,2390
2016/4/20,5:00,2457
2016/4/20,6:00,2638
2016/4/20,7:00,2802
2016/4/20,8:00,3012
2016/4/20,9:00,3205
2016/4/20,10:00,3248
2016/4/20,11:00,3255
2016/4/20,12:00,3094
2016/4/20,13:00,3235
2016/4/20,14:00,3260
2016/4/20,15:00,3237
2016/4/20,16:00,3257
2016/4/20,17:00,3226
2016/4/20,18:00,3338
2016/4/20,19:00,3283
2016/4/20,20:00,3131
2016/4/20,21:00,2996
2016/4/20,22:00,2909
2016/4/20,23:00,2717
2016/4/21,0:00,2509
2016/4/21,1:00,2386
2016/4/21,2:00,2373
2016/4/21,3:00,2391
2016/4/21,4:00,2428
2016/4/21,5:00,2492
2016/4/21,6:00,2674
2016/4/21,7:00,2885
2016/4/21,8:00,3126
2016/4/21,9:00,3254
2016/4/21,10:00,3342
2016/4/21,11:00,3376
2016/4/21,12:00,3214
2016/4/21,13:00,3402
2016/4/21,14:00,3424
2016/4/21,15:00,3402
2016/4/21,16:00,3418
2016/4/21,17:00,3430
2016/4/21,18:00,3473
2016/4/21,19:00,3346
2016/4/21,20:00,3183
2016/4/21,21:00,3042
2016/4/21,22:00,2937
2016/4/21,23:00,2737
2016/4/22,0:00,2520
2016/4/22,1:00,2393
2016/4/22,2:00,2382
2016/4/22,3:00,2400
2016/4/22,4:00,2427
2016/4/22,5:00,2486
2016/4/22,6:00,2654
2016/4/22,7:00,2844
